	Rhodotorula_mucilaginosa_TFCN_17-334Y-5.cds.fa
GF00000054	TFCN17334Y5_001203-T1, TFCN17334Y5_005495-T1, TFCN17334Y5_006815-T1, TFCN17334Y5_001881-T1, TFCN17334Y5_004880-T1, TFCN17334Y5_003215-T1, TFCN17334Y5_012775-T1, TFCN17334Y5_003214-T1
GF00000055	TFCN17334Y5_007847-T1, TFCN17334Y5_005290-T1, TFCN17334Y5_007295-T1, TFCN17334Y5_001519-T1, TFCN17334Y5_012872-T1, TFCN17334Y5_014256-T1, TFCN17334Y5_008742-T1, TFCN17334Y5_001244-T1
GF00000056	TFCN17334Y5_007709-T1, TFCN17334Y5_007344-T1, TFCN17334Y5_007312-T1, TFCN17334Y5_004591-T1, TFCN17334Y5_004350-T1, TFCN17334Y5_007343-T1, TFCN17334Y5_007311-T1, TFCN17334Y5_007733-T1
GF00000057	TFCN17334Y5_009916-T1, TFCN17334Y5_001622-T1, TFCN17334Y5_006194-T1, TFCN17334Y5_000496-T1, TFCN17334Y5_012511-T1, TFCN17334Y5_011714-T1, TFCN17334Y5_005815-T1, TFCN17334Y5_012266-T1
GF00000058	TFCN17334Y5_007138-T1, TFCN17334Y5_007207-T1, TFCN17334Y5_009068-T1, TFCN17334Y5_008379-T1, TFCN17334Y5_000127-T1, TFCN17334Y5_012054-T1, TFCN17334Y5_012346-T1, TFCN17334Y5_012890-T1
GF00000059	TFCN17334Y5_004248-T1, TFCN17334Y5_004236-T1, TFCN17334Y5_004237-T1, TFCN17334Y5_013857-T1, TFCN17334Y5_004249-T1, TFCN17334Y5_004259-T1, TFCN17334Y5_004258-T1, TFCN17334Y5_004247-T1
GF00000060	TFCN17334Y5_002370-T1, TFCN17334Y5_002410-T1, TFCN17334Y5_011274-T1, TFCN17334Y5_011273-T1, TFCN17334Y5_002409-T1, TFCN17334Y5_011261-T1, TFCN17334Y5_002369-T1, TFCN17334Y5_011260-T1
GF00000061	TFCN17334Y5_000119-T1, TFCN17334Y5_007197-T1, TFCN17334Y5_014175-T1, TFCN17334Y5_004486-T1, TFCN17334Y5_000157-T1, TFCN17334Y5_007202-T1, TFCN17334Y5_009266-T1
GF00000062	TFCN17334Y5_003633-T1, TFCN17334Y5_011793-T1, TFCN17334Y5_006393-T1, TFCN17334Y5_003063-T1, TFCN17334Y5_014425-T1, TFCN17334Y5_014290-T1, TFCN17334Y5_014289-T1
GF00000063	TFCN17334Y5_009457-T1, TFCN17334Y5_013253-T1, TFCN17334Y5_013252-T1, TFCN17334Y5_001867-T1, TFCN17334Y5_001191-T1, TFCN17334Y5_011447-T1, TFCN17334Y5_004410-T1
GF00000064	TFCN17334Y5_012836-T1, TFCN17334Y5_005559-T1, TFCN17334Y5_012199-T1, TFCN17334Y5_012837-T1, TFCN17334Y5_012198-T1, TFCN17334Y5_010955-T1, TFCN17334Y5_010956-T1
GF00000065	TFCN17334Y5_010932-T1, TFCN17334Y5_014298-T1, TFCN17334Y5_010931-T1, TFCN17334Y5_010930-T1, TFCN17334Y5_014294-T1, TFCN17334Y5_014295-T1, TFCN17334Y5_014297-T1
GF00000066	TFCN17334Y5_006749-T1, TFCN17334Y5_010265-T1, TFCN17334Y5_003931-T1, TFCN17334Y5_010264-T1, TFCN17334Y5_006750-T1, TFCN17334Y5_010580-T1, TFCN17334Y5_010581-T1
GF00000067	TFCN17334Y5_004229-T1, TFCN17334Y5_004228-T1, TFCN17334Y5_013852-T1, TFCN17334Y5_001416-T1, TFCN17334Y5_004838-T1, TFCN17334Y5_013853-T1, TFCN17334Y5_004839-T1
GF00000068	TFCN17334Y5_004487-T1, TFCN17334Y5_009265-T1, TFCN17334Y5_000015-T1, TFCN17334Y5_002044-T1, TFCN17334Y5_002196-T1, TFCN17334Y5_010075-T1, TFCN17334Y5_010074-T1
GF00000069	TFCN17334Y5_000779-T1, TFCN17334Y5_000778-T1, TFCN17334Y5_000776-T1, TFCN17334Y5_000780-T1, TFCN17334Y5_000775-T1, TFCN17334Y5_007500-T1, TFCN17334Y5_007499-T1
GF00000070	TFCN17334Y5_013546-T1, TFCN17334Y5_004605-T1, TFCN17334Y5_004604-T1, TFCN17334Y5_013318-T1, TFCN17334Y5_004621-T1, TFCN17334Y5_013317-T1, TFCN17334Y5_004622-T1
GF00000071	TFCN17334Y5_004256-T1, TFCN17334Y5_004250-T1, TFCN17334Y5_004246-T1, TFCN17334Y5_004234-T1, TFCN17334Y5_004257-T1, TFCN17334Y5_004235-T1, TFCN17334Y5_014185-T1
GF00000072	TFCN17334Y5_010139-T1, TFCN17334Y5_004251-T1, TFCN17334Y5_012963-T1, TFCN17334Y5_004269-T1, TFCN17334Y5_004328-T1, TFCN17334Y5_013746-T1, TFCN17334Y5_004205-T1
GF00000073	TFCN17334Y5_012697-T1, TFCN17334Y5_006428-T1, TFCN17334Y5_006050-T1, TFCN17334Y5_006051-T1, TFCN17334Y5_002416-T1, TFCN17334Y5_010541-T1, TFCN17334Y5_011281-T1
